Solyc00g006500.1.1	Unknown Protein (AHRD V1)
Solyc00g006510.1.1	Unknown Protein (AHRD V1)
Solyc00g006520.1.1	Unknown Protein (AHRD V1)
Solyc00g006530.1.1	Unknown Protein (AHRD V1)
Solyc00g006540.1.1	Unknown Protein (AHRD V1)
Solyc00g006550.1.1	UDP-glucosyltransferase family 1 protein (AHRD V1 ***- C6KI45_CITSI); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc00g006560.1.1	Glucosyltransferase-12 (AHRD V1 **** Q8S997_PHAAN); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc00g006570.1.1	Unknown Protein (AHRD V1)
Solyc00g006590.1.1	Unknown Protein (AHRD V1)
Solyc00g006600.1.1	HAT family dimerisation domain containing protein (AHRD V1 ***- Q2QPA8_ORYSJ); contains Interpro domain(s)  IPR007021  Protein of unknown function DUF659 
Solyc00g006630.1.1	Unknown Protein (AHRD V1)
Solyc00g006650.1.1	Unknown Protein (AHRD V1)
Solyc00g006660.1.1	Unknown Protein (AHRD V1)
Solyc00g006670.2.1	Unknown Protein (AHRD V1)
Solyc00g006680.1.1	Plant senescence-associated protein (Fragment) (AHRD V1 *-*- D7PDP5_9HYPO)
Solyc00g006690.2.1	Unknown Protein (AHRD V1)
Solyc00g006700.1.1	Unknown Protein (AHRD V1)
Solyc00g006800.2.1	Transaldolase (AHRD V1 ***- Q9FVH1_SOLLC); contains Interpro domain(s)  IPR014634  Transaldolase, bacterial/plant type 
Solyc00g006810.2.1	Peptidyl-prolyl cis-trans isomerase (AHRD V1 *-*- Q8DJW8_THEEB); contains Interpro domain(s)  IPR001179  Peptidyl-prolyl cis-trans isomerase, FKBP-type 
Solyc00g006820.2.1	Peptide transporter-like protein (AHRD V1 **-* Q9LYR6_ARATH); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region 
Solyc00g006830.2.1	No exine formation-1 (AHRD V1 **-- Q9LYR7_ARATH)
Solyc00g006840.2.1	Unknown Protein (AHRD V1)
Solyc00g006850.1.1	Unknown Protein (AHRD V1)
Solyc00g006860.1.1	Unknown Protein (AHRD V1)
Solyc00g006870.1.1	Unknown Protein (AHRD V1)
Solyc00g006880.1.1	Unknown Protein (AHRD V1)
Solyc00g006890.1.1	Unknown Protein (AHRD V1)
Solyc00g006900.1.1	Unknown Protein (AHRD V1)
Solyc00g007000.1.1	Unknown Protein (AHRD V1)
Solyc00g007010.2.1	Phosphatidylinositol phosphate (PtdInsP) phosphatase involved in hydrolysis of PtdIns (AHRD V1 **** D6VWZ1_YEAST); contains Interpro domain(s)  IPR002013  Synaptojanin, N-terminal 
Solyc00g007020.1.1	Tetratricopeptide repeat protein 5 (AHRD V1 ***- TTC5_BOVIN)
Solyc00g007030.1.1	Glutathione S-transferase (AHRD V1 ***- Q76KW1_PEA); contains Interpro domain(s)  IPR004046  Glutathione S-transferase, C-terminal 
Solyc00g007040.1.1	Glutathione-S-transferase (AHRD V1 ***- B5M1W3_RHEAU); contains Interpro domain(s)  IPR004045  Glutathione S-transferase, N-terminal 
Solyc00g007050.1.1	Unknown Protein (AHRD V1)
Solyc00g007060.2.1	Serine/threonine kinase-like protein ABC1063 (AHRD V1 **** Q1KMP8_HORVD); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc00g007070.2.1	Heterogeneous nuclear ribonucleoprotein H1 (AHRD V1 **-- Q8C2Q7_MOUSE); contains Interpro domain(s)  IPR012677  Nucleotide-binding, alpha-beta plait 
Solyc00g007080.2.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR007514  CHD5-like protein 
Solyc00g007090.2.1	Multi-pass transmembrane protein (AHRD V1 *--- Q5CMR0_CRYHO); contains Interpro domain(s)  IPR019328  GPI-GlcNAc transferase complex, PIG-H component 
Solyc00g007100.2.1	Serine/threonine protein kinase (AHRD V1 **** Q2U105_ASPOR); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc00g007110.2.1	Epidermal growth factor receptor substrate 15 (AHRD V1 *--- EPS15_HUMAN); contains Interpro domain(s)  IPR011992  EF-Hand type 
Solyc00g007120.2.1	Calcium-binding EF hand family protein (AHRD V1 ***- D7KK32_ARALY); contains Interpro domain(s)  IPR011992  EF-Hand type 
Solyc00g007130.2.1	Amino acid transporter family protein (AHRD V1 **** D7LI10_ARALY); contains Interpro domain(s)  IPR013057  Amino acid transporter, transmembrane 
Solyc00g007140.1.1	Unknown Protein (AHRD V1)
Solyc00g007150.2.1	Unknown Protein (AHRD V1)
Solyc00g007160.1.1	Transposase (AHRD V1 **-- Q0ZCF0_POPTR)
Solyc00g007170.1.1	Unknown Protein (AHRD V1)
Solyc00g007180.1.1	Gibberellin 3-beta-hydroxylase (Fragment) (AHRD V1 ***- D9ZZX1_TRIIC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase 
Solyc00g007190.2.1	Serine/threonine phosphatase family protein (AHRD V1 **** C1E0J1_9CHLO); contains Interpro domain(s)  IPR015655  Protein phosphatase 2C 
Solyc00g007200.2.1	MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein 
Solyc00g007210.1.1	Unknown Protein (AHRD V1)
Solyc00g007220.2.1	Ring finger protein (AHRD V1 ***- O49869_HORVU); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc00g007230.1.1	Pol polyprotein (AHRD V1 ***- POL_GALV); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) 
Solyc00g007240.1.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94 (AHRD V1 ***- POLX_TOBAC)
Solyc00g007250.1.1	Pol polyprotein (AHRD V1 *-*- POL_RSVSA); contains Interpro domain(s)  IPR001584  Integrase, catalytic core 
Solyc00g007260.2.1	Sentrin-specific protease 7 (AHRD V1 *-*- SENP7_HUMAN); contains Interpro domain(s)  IPR003653  Peptidase C48, SUMO/Sentrin/Ubl1 
Solyc00g007270.2.1	Translation initiation factor (AHRD V1 ***- A6ZWQ9_YEAS7); contains Interpro domain(s)  IPR002769  Translation initiation factor IF6 
Solyc00g007290.1.1	Ulp1 protease family C-terminal catalytic domain containing protein (AHRD V1 ***- Q60D46_SOLDE); contains Interpro domain(s)  IPR003653  Peptidase C48, SUMO/Sentrin/Ubl1 
Solyc00g007300.2.1	Lrr,  resistance protein fragment
Solyc00g007310.1.1	Unknown Protein (AHRD V1)
Solyc00g007320.1.1	Unknown Protein (AHRD V1)
Solyc00g007330.1.1	Unknown Protein (AHRD V1)
Solyc00g007340.1.1	Unknown Protein (AHRD V1)
Solyc00g007350.1.1	Zinc finger CCCH domain-containing protein 30 (AHRD V1 *-*- C3H30_ORYSJ)
Solyc00g007450.1.1	Zinc finger CCCH domain-containing protein 30 (AHRD V1 *-*- C3H30_ORYSJ); contains Interpro domain(s)  IPR000571  Zinc finger, CCCH-type 
Solyc00g007550.1.1	Unknown Protein (AHRD V1)
Solyc00g007560.1.1	Serine/threonine-protein phosphatase 7 long form homolog (AHRD V1 *--- PPP7L_ARATH); contains Interpro domain(s)  IPR019557  Aminotransferase-like, plant mobile domain 
Solyc00g007570.1.1	Polygalacturonase (AHRD V1 ***- B6TPQ7_MAIZE); contains Interpro domain(s)  IPR000743  Glycoside hydrolase, family 28 
Solyc00g007580.1.1	Mutator-like transposase (AHRD V1 *-*- Q9LTH0_ARATH)
Solyc00g007590.1.1	Unknown Protein (AHRD V1)
Solyc00g007600.1.1	Meiotic recombination protein DMC1 (AHRD V1 *-*- B4FMC1_MAIZE)
Solyc00g007610.1.1	Unknown Protein (AHRD V1)
Solyc00g007910.1.1	Unknown Protein (AHRD V1)
Solyc00g007920.1.1	Unknown Protein (AHRD V1)
Solyc00g007930.1.1	Unknown Protein (AHRD V1)
Solyc00g007940.1.1	Unknown Protein (AHRD V1)
Solyc00g007950.1.1	Unknown Protein (AHRD V1)
Solyc00g007960.1.1	Unknown Protein (AHRD V1)
Solyc00g007970.1.1	Unknown Protein (AHRD V1)
Solyc00g007980.1.1	Unknown Protein (AHRD V1)
Solyc00g007990.1.1	Unknown Protein (AHRD V1)
Solyc00g008000.1.1	Unknown Protein (AHRD V1)
Solyc00g008010.1.1	Unknown Protein (AHRD V1)
Solyc00g008020.1.1	Unknown Protein (AHRD V1)
Solyc00g008030.1.1	Unknown Protein (AHRD V1)
Solyc00g008040.1.1	Unknown Protein (AHRD V1)
Solyc00g008050.1.1	Unknown Protein (AHRD V1)
Solyc00g008060.1.1	Unknown Protein (AHRD V1)
Solyc00g008070.1.1	Unknown Protein (AHRD V1)
Solyc00g008080.1.1	Unknown Protein (AHRD V1)
Solyc00g008090.1.1	Unknown Protein (AHRD V1)
Solyc00g008100.1.1	Unknown Protein (AHRD V1)
Solyc00g008110.1.1	Unknown Protein (AHRD V1)
Solyc00g008120.1.1	Unknown Protein (AHRD V1)
Solyc00g008130.1.1	Unknown Protein (AHRD V1)
Solyc00g008140.1.1	Unknown Protein (AHRD V1)
Solyc00g008150.1.1	Unknown Protein (AHRD V1)
Solyc00g008160.1.1	Unknown Protein (AHRD V1)
Solyc00g008260.1.1	Unknown Protein (AHRD V1)
Solyc00g008270.1.1	Unknown Protein (AHRD V1)
Solyc00g008570.2.1	Unknown Protein (AHRD V1)
Solyc00g008580.1.1	Unknown Protein (AHRD V1)
Solyc00g008680.2.1	Calcium binding protein-like (AHRD V1 *--- Q656S9_ORYSJ); contains Interpro domain(s)  IPR011992  EF-Hand type 
Solyc00g008690.1.1	Unknown Protein (AHRD V1)
Solyc00g008800.1.1	Unknown Protein (AHRD V1)
Solyc00g008900.1.1	Unknown Protein (AHRD V1)
Solyc00g008910.1.1	Unknown Protein (AHRD V1)
Solyc00g008920.1.1	Unknown Protein (AHRD V1)
Solyc00g009020.2.1	Mitochondrial ATP synthase (AHRD V1 ***- B6TLY8_MAIZE)
Solyc00g009030.1.1	Solute carrier family 2, facilitated glucose transporter member 12 (AHRD V1 **** GTR12_BOVIN); contains Interpro domain(s)  IPR003663  Sugar/inositol transporter 
Solyc00g009040.2.1	Polyadenylate-binding protein 2 (AHRD V1 **** B6U4M0_MAIZE); contains Interpro domain(s)  IPR006515  Polyadenylate binding protein, human types 1, 2, 3, 4 
Solyc00g009050.1.1	UPF0544 protein C5orf45 (AHRD V1 ***- CE045_HUMAN)
Solyc00g009060.2.1	Hypoxanthine phosphoribosyltransferase (AHRD V1 ***- B4UWA8_ARAHY); contains Interpro domain(s)  IPR005904  Hypoxanthine phosphoribosyl transferase 
Solyc00g009070.1.1	Unknown Protein (AHRD V1)
Solyc00g009080.2.1	Unknown Protein (AHRD V1)
Solyc00g009090.2.1	Receptor like kinase, RLK
Solyc00g009100.2.1	30S ribosomal protein S1-like (AHRD V1 ***- Q5ZC75_ORYSJ); contains Interpro domain(s)  IPR003029  Ribosomal protein S1, RNA binding domain 
Solyc00g009110.2.1	Inositol-1 4 5-trisphosphate 5-Phosphatase-like protein (AHRD V1 *-*- Q9M1W5_ARATH); contains Interpro domain(s)  IPR000300  Inositol polyphosphate related phosphatase 
Solyc00g009120.2.1	Short-chain dehydrogenase/reductase family protein (AHRD V1 ***- D7LXC9_ARALY); contains Interpro domain(s)  IPR002198  Short-chain dehydrogenase/reductase SDR 
Solyc00g009130.2.1	Dehydrogenase/reductase SDR family member 12 (AHRD V1 ***- C0HAG0_SALSA); contains Interpro domain(s)  IPR002198  Short-chain dehydrogenase/reductase SDR 
Solyc00g009140.2.1	Short-chain dehydrogenase/reductase SDR (AHRD V1 ***- A4A816_9GAMM); contains Interpro domain(s)  IPR002198  Short-chain dehydrogenase/reductase SDR 
Solyc00g009240.1.1	Unknown Protein (AHRD V1)
Solyc00g009440.1.1	Unknown Protein (AHRD V1)
Solyc00g009540.1.1	Helicase-like protein (AHRD V1 ***- Q5NAA4_ORYSJ); contains Interpro domain(s)  IPR010285  Protein of unknown function DUF889, eukaryote 
Solyc00g009650.1.1	Unknown Protein (AHRD V1)
Solyc00g009660.1.1	Unknown Protein (AHRD V1)
Solyc00g009760.2.1	Cytochrome P450 monooxygenase (Fragment) (AHRD V1 *-*- Q6T4Q1_PYRCO)
Solyc00g009770.1.1	Unknown Protein (AHRD V1)
Solyc00g009780.1.1	Unknown Protein (AHRD V1)
Solyc00g009790.1.1	Unknown Protein (AHRD V1)
Solyc00g009800.1.1	Unknown Protein (AHRD V1)
Solyc00g010100.1.1	Unknown Protein (AHRD V1)
Solyc00g010110.1.1	Unknown Protein (AHRD V1)
Solyc00g010210.1.1	Polyprotein (AHRD V1 ***- Q94HW2_ARATH)
Solyc00g010410.1.1	Unknown Protein (AHRD V1)
Solyc00g010420.1.1	Unknown Protein (AHRD V1)
Solyc00g010520.1.1	Unknown Protein (AHRD V1)
Solyc00g010530.1.1	Unknown Protein (AHRD V1)
Solyc00g010540.1.1	Pol polyprotein (AHRD V1 ***- POL_BAEVM); contains Interpro domain(s)  IPR000477  RNA-directed DNA polymerase (reverse transcriptase) 
Solyc00g010550.1.1	Unknown Protein (AHRD V1)
Solyc00g010750.1.1	Guanylate binding protein 2 (AHRD V1 ***- B2XWS2_PIG); contains Interpro domain(s)  IPR015894  Guanylate-binding protein, N-terminal 
Solyc00g010760.1.1	Helicase-like protein (AHRD V1 *-*- Q9LW42_ARATH); contains Interpro domain(s)  IPR010285  Protein of unknown function DUF889, eukaryote 
Solyc00g010770.1.1	Unknown Protein (AHRD V1)
Solyc00g010780.1.1	Unknown Protein (AHRD V1)
Solyc00g010790.1.1	Unknown Protein (AHRD V1)
Solyc00g010810.1.1	Unknown Protein (AHRD V1)
Solyc00g010930.1.1	Unknown Protein (AHRD V1)
Solyc00g011130.1.1	Unknown Protein (AHRD V1)
Solyc00g011140.1.1	Unknown Protein (AHRD V1)
Solyc00g011150.1.1	Unknown Protein (AHRD V1)
Solyc00g011160.1.1	Unknown Protein (AHRD V1)
Solyc00g011170.1.1	Unknown Protein (AHRD V1)
Solyc00g011180.1.1	Unknown Protein (AHRD V1)
Solyc00g011310.1.1	Unknown Protein (AHRD V1)
Solyc00g011550.1.1	B3 domain-containing protein At1g49475 (AHRD V1 *-*- Y1475_ARATH); contains Interpro domain(s)  IPR003340  Transcriptional factor B3 
Solyc00g011560.1.1	E3 ubiquitin-protein ligase SINA-like 10 (AHRD V1 *-*- SIL10_ARATH); contains Interpro domain(s)  IPR004162  Seven in absentia protein 
Solyc00g011660.1.1	B3 domain-containing protein At1g49475 (AHRD V1 *-*- Y1475_ARATH); contains Interpro domain(s)  IPR003340  Transcriptional factor B3 
Solyc00g011670.1.1	Unknown Protein (AHRD V1)
Solyc00g011870.1.1	Phosphatase 1G (AHRD V1 ***- B5X3X4_SALSA); contains Interpro domain(s)  IPR015655  Protein phosphatase 2C 
Solyc00g011880.2.1	AIG2-like protein (AHRD V1 ***- B4FVZ7_MAIZE); contains Interpro domain(s)  IPR009288  AIG2-like 
Solyc00g011890.2.1	Galactokinase like protein (AHRD V1 **** O23461_ARATH); contains Interpro domain(s)  IPR012369  Galactokinase, glycosyltransferase 
Solyc00g012090.1.1	Unknown Protein (AHRD V1)
Solyc00g012310.1.1	Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment) (AHRD V1 **-- PO21_NASVI); contains Interpro domain(s)  IPR015706  RNA-directed DNA polymerase (reverse transcriptase), related 
Solyc00g012430.1.1	Unknown Protein (AHRD V1)
Solyc00g012440.1.1	TO54-2 (Fragment) (AHRD V1 ***- Q3LVL5_TAROF)
Solyc00g012540.1.1	Zinc finger CCCH domain-containing protein 6 (AHRD V1 ***- C3H6_ARATH)
Solyc00g012640.1.1	DNA (cytosine-5)-methyltransferase DRM2 (AHRD V1 **** DRM2_ARATH); contains Interpro domain(s)  IPR009060  UBA-like 
Solyc00g012650.1.1	Unknown Protein (AHRD V1)
Solyc00g012660.1.1	F-box domain containing protein (AHRD V1 ***- B6UBC8_MAIZE); contains Interpro domain(s)  IPR001810  Cyclin-like F-box 
Solyc00g012670.1.1	Unknown Protein (AHRD V1)
Solyc00g012680.1.1	D111/G-patch Zinc finger C2H2-type (AHRD V1 ***- Q2HRQ8_MEDTR)
Solyc00g012690.1.1	Ovarian tumour otubain (AHRD V1 ***- Q1SL15_MEDTR); contains Interpro domain(s)  IPR018289  MULE transposase, conserved domain 
Solyc00g012700.1.1	Ovarian tumour otubain (AHRD V1 ***- Q1SL15_MEDTR); contains Interpro domain(s)  IPR004330  Transcription factor, FAR1-related 
Solyc00g012800.1.1	Unknown Protein (AHRD V1)
Solyc00g012900.1.1	Unknown Protein (AHRD V1)
Solyc00g013000.1.1	Unknown Protein (AHRD V1)
Solyc00g013100.1.1	Unknown Protein (AHRD V1)
Solyc00g013110.1.1	Unknown Protein (AHRD V1)
Solyc00g013120.2.1	Uncharacterized mitochondrial protein AtMg01330 (AHRD V1 *-*- M1330_ARATH)
Solyc00g013130.2.1	NADH-quinone oxidoreductase subunit N (AHRD V1 ***- Q7CZK9_AGRT5); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase 
Solyc00g013140.1.1	NADH dehydrogenase subunit 5 (Fragment) (AHRD V1 ***- A1XJP5_SIMCH); contains Interpro domain(s)  IPR003945  NADH-plastoquinone oxidoreductase, chain 5 
Solyc00g013150.1.1	Unknown Protein (AHRD V1)
Solyc00g013160.1.1	Unknown Protein (AHRD V1)
Solyc00g013170.1.1	Unknown Protein (AHRD V1)
Solyc00g013180.1.1	NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase 
Solyc00g013190.1.1	Unknown Protein (AHRD V1)
Solyc00g013320.1.1	Unknown Protein (AHRD V1)
Solyc00g013330.1.1	Unknown Protein (AHRD V1)
Solyc00g013770.1.1	Unknown Protein (AHRD V1)
Solyc00g014170.1.1	Unknown Protein (AHRD V1)
Solyc00g014180.1.1	Unknown Protein (AHRD V1)
Solyc00g014190.1.1	Unknown Protein (AHRD V1)
Solyc00g014290.1.1	Unknown Protein (AHRD V1)
Solyc00g014390.1.1	F-box family protein (AHRD V1 ***- D7L456_ARALY)
Solyc00g014790.2.1	Unknown Protein (AHRD V1)
Solyc00g014800.1.1	Zinc-finger protein 1 (AHRD V1 *-*- D7KX25_ARALY); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type 
Solyc00g014810.1.1	Unknown Protein (AHRD V1)
Solyc00g014820.2.1	Unknown Protein (AHRD V1)
Solyc00g014830.2.1	NADH-quinone oxidoreductase subunit D (AHRD V1 ***- C4YU74_9RICK); contains Interpro domain(s)  IPR010219  NADH dehydrogenase I, D subunit 
Solyc00g014840.1.1	Unknown Protein (AHRD V1)
Solyc00g014850.1.1	ORF86 (AHRD V1 ***- B6VJY4_VITVI)
Solyc00g014860.1.1	Unknown Protein (AHRD V1)
Solyc00g014960.1.1	F-box family protein (AHRD V1 *-*- B9HCS6_POPTR); contains Interpro domain(s)  IPR017451  F-box associated type 1 
Solyc00g014970.1.1	Helicase-like protein (AHRD V1 ***- Q9LTU4_ARATH); contains Interpro domain(s)  IPR010285  Protein of unknown function DUF889, eukaryote 
Solyc00g014980.1.1	Dihydroflavonol-4-reductase (Fragment) (AHRD V1 *--- DFRA_MEDSA); contains Interpro domain(s)  IPR017451  F-box associated type 1 
Solyc00g014990.1.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR007749  Protein of unknown function DUF677 
Solyc00g015000.1.1	DNA (Cytosine-5-)-methyltransferase 3 (AHRD V1 ***- B3DGP2_DANRE)
Solyc00g015600.1.1	Unknown Protein (AHRD V1)
Solyc00g015610.1.1	Unknown Protein (AHRD V1)
Solyc00g015720.1.1	Glycosyltransferase-like protein (AHRD V1 **-- D8QTD2_SELML); contains Interpro domain(s)  IPR006740  Protein of unknown function DUF604 
Solyc00g015730.1.1	RAMOSA1 C2H2 zinc-finger transcription factor (AHRD V1 ***- Q3ZDP6_TRIDA); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type 
Solyc00g015740.1.1	Reductase 2 (AHRD V1 ***- Q6TY50_HYDMC); contains Interpro domain(s)  IPR018170  Aldo/keto reductase, conserved site 
Solyc00g015750.1.1	Reductase 2 (AHRD V1 ***- Q6TY50_HYDMC); contains Interpro domain(s)  IPR018170  Aldo/keto reductase, conserved site 
Solyc00g015760.1.1	CHP-rich zinc finger protein-like (AHRD V1 *-*- Q8H5Y9_ORYSJ); contains Interpro domain(s)  IPR011424  C1-like 
Solyc00g015770.1.1	Aldo-keto reductase (AHRD V1 ***- Q84TF0_ARATH); contains Interpro domain(s)  IPR020471  Aldo/keto reductase subgroup 
Solyc00g016470.1.1	Unknown Protein (AHRD V1)
Solyc00g016480.1.1	HAT family dimerisation domain containing protein (AHRD V1 **-- Q53M48_ORYSJ)
Solyc00g016490.1.1	F-box family protein (AHRD V1 *-*- B9HCS6_POPTR); contains Interpro domain(s)  IPR001810  Cyclin-like F-box 
Solyc00g016590.1.1	Unknown Protein (AHRD V1)
Solyc00g016790.1.1	Unknown Protein (AHRD V1)
Solyc00g016890.1.1	Unknown Protein (AHRD V1)
Solyc00g016900.1.1	Unknown Protein (AHRD V1)
Solyc00g016910.1.1	Unknown Protein (AHRD V1)
Solyc00g017210.1.1	Actin (AHRD V1 ***- P93775_STRAF); contains Interpro domain(s)  IPR004000  Actin/actin-like 
Solyc00g017220.1.1	Phantastica transcription factor (Fragment) (AHRD V1 **-* Q7XBQ4_AQUFO)
Solyc00g017230.1.1	Expansin (AHRD V1 ***- A4GWU6_LITCN); contains Interpro domain(s)  IPR007112  Expansin 45, endoglucanase-like  IPR007117  Pollen allergen/expansin, C-terminal 
Solyc00g017530.1.1	Gag-Pol polyprotein (AHRD V1 ***- B8YLY3_MEDTR)
Solyc00g017540.1.1	Signal recognition particle 72 kDa protein homolog (AHRD V1 *-*- SRP72_DICDI)
Solyc00g017550.1.1	Signal recognition particle 72 kDa protein homolog (AHRD V1 *-*- SRP72_DICDI)
Solyc00g017750.1.1	Unknown Protein (AHRD V1)
Solyc00g017760.1.1	Unknown Protein (AHRD V1)
Solyc00g017860.1.1	Pyridine nucleotide-disulfide oxidoreductase (AHRD V1 **-- D7VUZ3_9FLAO); contains Interpro domain(s)  IPR004792  HI0933-like protein 
Solyc00g017870.1.1	TonB family protein (AHRD V1 *-*- C6X0J8_FLAB3)
Solyc00g017880.1.1	DNA mismatch repair protein mutS (AHRD V1 ***- D7VUY4_9FLAO); contains Interpro domain(s)  IPR005748  DNA mismatch repair protein MutS, type 1 
Solyc00g017890.1.1	Conserved predicted inner membrane protein (AHRD V1 **-- C8UPW0_ECO1A); contains Interpro domain(s)  IPR007913  Uncharacterised protein family UPF0187 
Solyc00g017900.1.1	tRNA/rRNA methyltransferase (AHRD V1 ***- Q650S4_BACFR); contains Interpro domain(s)  IPR001537  tRNA/rRNA methyltransferase, SpoU 
Solyc00g017910.1.1	ATP-NAD/AcoX kinase (AHRD V1 ***- B4D8Y7_9BACT); contains Interpro domain(s)  IPR016064  ATP-NAD kinase, PpnK-type 
Solyc00g017920.1.1	Fructose-bisphosphate aldolase (AHRD V1 ***- D7VUX3_9FLAO); contains Interpro domain(s)  IPR006411  Fructose-bisphosphate aldolase, class II, yeast/E. coli subtype 
