itag,length
Solyc00g127670.1.1,477
Solyc00g127870.2.1,507
Solyc00g128870.2.1,462
Solyc00g131710.1.1,1530
Solyc00g140060.2.1,660
Solyc00g142160.1.1,318
Solyc00g142170.2.1,918
Solyc00g143770.1.1,234
Solyc00g147770.1.1,1182
Solyc00g156980.2.1,480
Solyc00g160780.2.1,279
Solyc00g164680.1.1,1473
Solyc00g170200.1.1,384
Solyc00g170210.2.1,117
Solyc00g171810.2.1,1029
Solyc00g179240.1.1,165
Solyc00g180440.1.1,255
Solyc00g181240.1.1,180
Solyc00g186050.1.1,540
Solyc00g187050.2.1,1527
Solyc00g195360.1.1,798
Solyc00g196060.2.1,1062
Solyc00g201160.2.1,792
Solyc00g203660.1.1,591
Solyc00g206460.1.1,771
Solyc00g209460.1.1,333
Solyc00g212260.1.1,2151
Solyc00g227860.1.1,1413
Solyc00g230060.1.1,879
Solyc00g230070.1.1,264
Solyc00g230080.1.1,357
Solyc00g231780.1.1,324
Solyc00g244290.1.1,492
Solyc00g244300.1.1,258
Solyc00g245200.1.1,186
Solyc00g249900.2.1,519
Solyc00g272810.1.1,726
Solyc00g277510.1.1,201
Solyc00g281110.1.1,369
Solyc00g282510.1.1,1776
Solyc00g311230.2.1,441
Solyc00g313030.1.1,162
Solyc00g318830.1.1,558
Solyc00g320430.1.1,180
Solyc00g323130.2.1,633
Solyc01g005000.2.1,1455
Solyc01g005010.2.1,753
Solyc01g005020.2.1,3456
Solyc01g005030.2.1,3459
Solyc01g005060.2.1,1020
Solyc01g005080.2.1,1680
Solyc01g005100.2.1,1209
Solyc01g005110.2.1,123
Solyc01g005120.2.1,1008
Solyc01g005130.2.1,753
Solyc01g005210.2.1,2574
Solyc01g005240.2.1,1698
Solyc01g005250.2.1,1146
Solyc01g005260.2.1,723
Solyc01g005270.2.1,723
Solyc01g005280.2.1,723
Solyc01g005290.2.1,597
Solyc01g005330.2.1,1869
Solyc01g005340.2.1,1572
Solyc01g005370.2.1,519
Solyc01g005380.2.1,1416
Solyc01g005410.2.1,576
Solyc01g005430.2.1,1371
Solyc01g005440.2.1,930
Solyc01g005450.2.1,924
Solyc01g005460.2.1,393
Solyc01g005480.2.1,1131
Solyc01g005490.2.1,1320
Solyc01g005520.2.1,993
Solyc01g005530.2.1,378
Solyc01g005540.2.1,1755
Solyc01g005550.2.1,1281
Solyc01g005560.2.1,1248
Solyc01g005570.2.1,285
Solyc01g005580.2.1,438
Solyc01g005600.2.1,903
Solyc01g005610.2.1,1110
Solyc01g005620.2.1,894
Solyc01g005640.2.1,906
Solyc01g005670.2.1,870
Solyc01g005690.2.1,1332
Solyc01g005700.2.1,2253
Solyc01g005780.1.1,2307
Solyc01g005790.1.1,1377
Solyc01g005810.2.1,909
Solyc01g005820.2.1,759
Solyc01g005830.2.1,804
Solyc01g005840.2.1,546
Solyc01g005850.1.1,891
Solyc01g005910.2.1,801
Solyc01g005920.2.1,1428
Solyc01g005930.2.1,1218
Solyc01g005950.2.1,942
Solyc01g005960.2.1,1815
Solyc01g005970.2.1,1314
Solyc01g005980.2.1,759
Solyc01g005990.2.1,582
Solyc01g006000.2.1,1545
Solyc01g006010.2.1,2412
Solyc01g006020.2.1,750
Solyc01g006030.2.1,1020
Solyc01g006040.2.1,1668
Solyc01g006090.2.1,849
Solyc01g006100.2.1,2427
Solyc01g006110.2.1,1218
Solyc01g006120.2.1,2049
Solyc01g006130.2.1,687
Solyc01g006140.2.1,1719
Solyc01g006150.2.1,1218
Solyc01g006160.2.1,264
Solyc01g006170.2.1,867
Solyc01g006180.2.1,1803
Solyc01g006190.2.1,927
Solyc01g006210.2.1,939
Solyc01g006220.2.1,1356
Solyc01g006230.2.1,1176
Solyc01g006250.1.1,225
Solyc01g006260.2.1,435
Solyc01g006280.2.1,1905
Solyc01g006320.2.1,597
Solyc01g006330.2.1,1197
Solyc01g006340.2.1,1545
Solyc01g006350.2.1,3372
Solyc01g006360.2.1,2292
Solyc01g006370.2.1,5847
Solyc01g006390.2.1,414
Solyc01g006400.2.1,756
Solyc01g006430.2.1,1152
Solyc01g006450.2.1,1179
Solyc01g006480.2.1,711
Solyc01g006490.2.1,1725
Solyc01g006500.2.1,1467
Solyc01g006510.2.1,1068
Solyc01g006630.2.1,1080
Solyc01g006650.1.1,1983
Solyc01g006670.2.1,1461
Solyc01g006680.2.1,1197
Solyc01g006690.2.1,1827
Solyc01g006700.2.1,1908
Solyc01g006710.2.1,3495
Solyc01g006740.2.1,1308
Solyc01g006800.2.1,1170
Solyc01g006810.2.1,960
Solyc01g006830.2.1,1335
Solyc01g006850.1.1,3294
Solyc01g006860.2.1,804
Solyc01g006870.2.1,1848
Solyc01g006880.2.1,4791
Solyc01g006890.2.1,2298
Solyc01g006900.2.1,480
Solyc01g006920.2.1,2547
Solyc01g006940.2.1,987
Solyc01g006960.2.1,3807
Solyc01g006970.2.1,3096
Solyc01g006980.2.1,1080
Solyc01g006990.2.1,1644
Solyc01g007060.2.1,1323
Solyc01g007070.2.1,2103
Solyc01g007100.2.1,2331
Solyc01g007110.2.1,777
Solyc01g007120.2.1,1374
Solyc01g007130.2.1,2892
Solyc01g007140.2.1,2643
Solyc01g007150.2.1,2850
Solyc01g007160.2.1,1074
Solyc01g007170.2.1,2853
Solyc01g007180.2.1,420
Solyc01g007200.2.1,675
Solyc01g007230.2.1,690
Solyc01g007240.2.1,612
Solyc01g007250.2.1,882
Solyc01g007280.2.1,606
Solyc01g007290.1.1,477
Solyc01g007300.1.1,678
Solyc01g007310.2.1,363
Solyc01g007320.2.1,1830
Solyc01g007330.2.1,1434
Solyc01g007340.2.1,1524
Solyc01g007350.2.1,219
Solyc01g007360.2.1,555
Solyc01g007370.2.1,690
Solyc01g007380.1.1,963
Solyc01g007390.1.1,90
Solyc01g007400.1.1,126
Solyc01g007410.2.1,120
Solyc01g007420.2.1,195
Solyc01g007430.2.1,141
Solyc01g007440.1.1,138
Solyc01g007450.1.1,201
Solyc01g007460.2.1,306
Solyc01g007470.1.1,387
Solyc01g007480.1.1,243
Solyc01g007490.2.1,621
Solyc01g007500.2.1,1662
Solyc01g007510.1.1,90
Solyc01g007520.2.1,222
Solyc01g007530.2.1,642
Solyc01g007540.2.1,420
Solyc01g007550.1.1,150
Solyc01g007560.2.1,801
Solyc01g007570.2.1,516
Solyc01g007580.2.1,405
Solyc01g007590.2.1,369
Solyc01g007600.2.1,357
Solyc01g007610.2.1,1059
Solyc01g007620.2.1,150
Solyc01g007630.2.1,1059
Solyc01g007640.2.1,6837
Solyc01g007650.2.1,213
Solyc01g007660.2.1,1542
Solyc01g007670.2.1,468
Solyc01g007680.1.1,396
Solyc01g007690.2.1,99
Solyc01g007700.2.1,276
Solyc01g007710.2.1,246
Solyc01g007720.2.1,255
Solyc01g007730.2.1,249
Solyc01g007740.2.1,804
Solyc01g007750.2.1,954
Solyc01g007760.2.1,1440
Solyc01g007780.2.1,483
Solyc01g007790.2.1,945
Solyc01g007810.1.1,897
Solyc01g007840.2.1,858
Solyc01g007850.2.1,3057
Solyc01g007860.2.1,441
Solyc01g007870.2.1,381
Solyc01g007880.2.1,2346
Solyc01g007890.1.1,1137
Solyc01g007900.2.1,888
Solyc01g007910.2.1,999
Solyc01g007920.2.1,615
Solyc01g007930.2.1,1074
Solyc01g007950.2.1,2661
Solyc01g007990.2.1,1917
Solyc01g008000.2.1,630
Solyc01g008010.2.1,924
Solyc01g008020.2.1,1248
Solyc01g008060.2.1,912
Solyc01g008070.2.1,1299
Solyc01g008080.2.1,261
Solyc01g008090.2.1,261
Solyc01g008100.2.1,654
Solyc01g008110.2.1,1464
Solyc01g008120.2.1,5067
Solyc01g008130.2.1,1719
Solyc01g008140.2.1,2904
Solyc01g008160.2.1,963
Solyc01g008170.2.1,2121
Solyc01g008180.2.1,1569
Solyc01g008200.2.1,327
Solyc01g008210.2.1,579
Solyc01g008220.2.1,582
Solyc01g008230.2.1,750
Solyc01g008250.2.1,549
Solyc01g008260.2.1,495
Solyc01g008270.2.1,444
Solyc01g008280.2.1,1143
Solyc01g008290.2.1,1374
Solyc01g008310.2.1,1731
Solyc01g008320.2.1,2784
Solyc01g008330.2.1,1611
Solyc01g008340.2.1,753
Solyc01g008360.2.1,372
Solyc01g008370.2.1,933
Solyc01g008400.2.1,192
Solyc01g008440.2.1,1602
Solyc01g008460.2.1,624
Solyc01g008470.2.1,1080
Solyc01g008480.2.1,1776
Solyc01g008490.2.1,939
Solyc01g008520.2.1,1017
Solyc01g008530.2.1,987
Solyc01g008550.2.1,963
Solyc01g008560.2.1,1596
Solyc01g008600.2.1,1959
Solyc01g008660.2.1,1035
Solyc01g008700.2.1,900
Solyc01g008730.2.1,984
Solyc01g008760.2.1,633
Solyc01g008770.2.1,2604
Solyc01g008780.2.1,723
Solyc01g008790.2.1,1344
Solyc01g008800.1.1,4008
Solyc01g008810.2.1,717
Solyc01g008820.2.1,1017
Solyc01g008830.1.1,1719
Solyc01g008840.2.1,1320
Solyc01g008850.2.1,1317
Solyc01g008890.2.1,912
Solyc01g008900.2.1,1329
Solyc01g008910.2.1,1431
Solyc01g008930.2.1,1029
Solyc01g008950.2.1,450
Solyc01g008960.2.1,2730
Solyc01g008970.2.1,1131
Solyc01g008980.2.1,441
Solyc01g008990.2.1,741
Solyc01g009000.2.1,957
Solyc01g009010.2.1,1203
Solyc01g009020.2.1,342
Solyc01g009030.2.1,1788
Solyc01g009040.2.1,1308
Solyc01g009050.2.1,2013
Solyc01g009060.2.1,1218
Solyc01g009070.2.1,1614
Solyc01g009080.2.1,609
Solyc01g009090.2.1,2247
Solyc01g009100.2.1,339
Solyc01g009110.2.1,798
Solyc01g009150.2.1,684
Solyc01g009170.2.1,1845
Solyc01g009180.2.1,2454
Solyc01g009230.2.1,4086
Solyc01g009240.2.1,1905
Solyc01g009280.2.1,2961
Solyc01g009290.2.1,1320
Solyc01g009300.2.1,2994
Solyc01g009310.2.1,1305
Solyc01g009340.2.1,1212
Solyc01g009380.2.1,1698
Solyc01g009390.2.1,1107
Solyc01g009420.2.1,1161
Solyc01g009450.2.1,552
Solyc01g009500.2.1,1035
Solyc01g009520.2.1,651
Solyc01g009550.1.1,264
Solyc01g009570.2.1,150
Solyc01g009610.2.1,318
Solyc01g009620.2.1,603
Solyc01g009630.2.1,603
Solyc01g009670.2.1,1545
Solyc01g009730.1.1,1005
Solyc01g009750.2.1,336
Solyc01g009760.2.1,705
Solyc01g009770.2.1,738
Solyc01g009780.2.1,459
Solyc01g009820.2.1,1899
Solyc01g009850.2.1,228
Solyc01g009860.2.1,819
Solyc01g009900.2.1,363
Solyc01g009910.1.1,363
Solyc01g009970.2.1,1038
Solyc01g009990.2.1,747
Solyc01g010000.2.1,1350
Solyc01g010020.2.1,486
Solyc01g010030.2.1,2193
Solyc01g010040.2.1,453
Solyc01g010050.2.1,1095
Solyc01g010130.2.1,1614
Solyc01g010150.2.1,1347
Solyc01g010180.2.1,522
Solyc01g010210.1.1,558
Solyc01g010220.2.1,537
Solyc01g010250.2.1,801
Solyc01g010270.2.1,315
Solyc01g010290.2.1,1224
Solyc01g010310.2.1,570
Solyc01g010340.1.1,1440
Solyc01g010370.2.1,1851
Solyc01g010390.2.1,1524
Solyc01g010430.2.1,912
Solyc01g010440.2.1,1329
Solyc01g010460.2.1,1143
Solyc01g010470.2.1,558
Solyc01g010510.2.1,1791
Solyc01g010520.2.1,1077
Solyc01g010540.2.1,594
Solyc01g010570.2.1,945
Solyc01g010580.2.1,594
Solyc01g010590.2.1,687
Solyc01g010640.2.1,618
Solyc01g010650.2.1,1002
Solyc01g010660.2.1,1260
Solyc01g010680.1.1,927
Solyc01g010700.2.1,1335
Solyc01g010710.2.1,1473
Solyc01g010750.2.1,984
Solyc01g010760.2.1,831
Solyc01g010770.2.1,819
Solyc01g010780.2.1,1446
Solyc01g010810.2.1,612
Solyc01g010820.2.1,2205
Solyc01g010830.2.1,777
Solyc01g010860.2.1,801
Solyc01g010870.2.1,1824
Solyc01g010880.2.1,915
Solyc01g010910.1.1,1005
Solyc01g010920.1.1,513
Solyc01g010930.2.1,804
Solyc01g010940.2.1,651
Solyc01g010950.2.1,1293
Solyc01g010970.2.1,3003
Solyc01g010990.2.1,1092
Solyc01g011000.2.1,480
Solyc01g011020.1.1,159
Solyc01g011030.2.1,804
Solyc01g011040.2.1,996
Solyc01g011090.2.1,750
Solyc01g011100.2.1,3018
Solyc01g011200.2.1,567
Solyc01g011340.2.1,921
Solyc01g011350.2.1,918
Solyc01g011410.1.1,222
Solyc01g011480.1.1,258
Solyc01g011510.2.1,1503
Solyc01g014080.1.1,318
Solyc01g014110.2.1,231
Solyc01g014120.2.1,1032
Solyc01g014180.2.1,516
Solyc01g014200.1.1,174
Solyc01g014230.2.1,2436
Solyc01g014250.2.1,159
Solyc01g014480.2.1,2028
Solyc01g014490.2.1,2019
Solyc01g014560.2.1,1245
Solyc01g014620.1.1,375
Solyc01g014850.2.1,753
Solyc01g014990.1.1,585
Solyc01g015000.2.1,639
Solyc01g015020.2.1,1464
Solyc01g015140.1.1,264
Solyc01g015220.1.1,486
Solyc01g016410.2.1,714
Solyc01g016470.2.1,156
Solyc01g016550.1.1,258
Solyc01g016560.1.1,375
Solyc01g016710.1.1,573
Solyc01g016950.1.1,891
Solyc01g017050.1.1,318
Solyc01g017070.1.1,303
Solyc01g017080.1.1,735
Solyc01g017090.2.1,591
Solyc01g017100.1.1,369
Solyc01g017110.1.1,1170
Solyc01g017130.1.1,231
Solyc01g017140.1.1,1014
Solyc01g017170.1.1,414
Solyc01g017220.1.1,291
Solyc01g017230.1.1,627
Solyc01g017240.1.1,357
Solyc01g017250.1.1,348
Solyc01g017270.1.1,189
Solyc01g017300.1.1,837
Solyc01g017320.1.1,207
Solyc01g017330.1.1,417
Solyc01g017340.1.1,699
Solyc01g017350.1.1,441
Solyc01g017360.1.1,282
Solyc01g017370.1.1,498
Solyc01g017380.1.1,258
Solyc01g017390.1.1,186
Solyc01g017400.1.1,654
Solyc01g017420.1.1,1449
Solyc01g017430.1.1,330
Solyc01g017440.1.1,609
Solyc01g017460.1.1,156
Solyc01g017470.1.1,426
Solyc01g017480.1.1,384
Solyc01g017490.1.1,300
Solyc01g017500.1.1,228
Solyc01g017510.1.1,891
Solyc01g017520.1.1,249
Solyc01g017530.1.1,603
Solyc01g017630.1.1,342
Solyc01g017720.1.1,192
Solyc01g017740.1.1,294
Solyc01g018090.1.1,300
Solyc01g020150.2.1,93
Solyc01g020160.1.1,231
Solyc01g020200.1.1,468
Solyc01g020220.1.1,909
Solyc01g020230.2.1,99
Solyc01g020240.2.1,954
Solyc01g020250.1.1,510
Solyc01g020290.1.1,165
Solyc01g020320.2.1,201
Solyc01g020340.1.1,1362
Solyc01g020440.2.1,1065
Solyc01g020460.1.1,789
Solyc01g020470.1.1,333
Solyc01g020520.2.1,1296
Solyc01g021640.2.1,1491
Solyc01g021670.2.1,528
Solyc01g022740.2.1,1314
Solyc01g022750.2.1,399
Solyc01g022780.1.1,156
Solyc01g028810.2.1,1800
Solyc01g028830.2.1,1161
Solyc01g028860.2.1,2121
Solyc01g028870.2.1,876
Solyc01g028900.2.1,1077
Solyc01g028930.2.1,612
Solyc01g028970.1.1,1695
Solyc01g034000.1.1,2163
Solyc01g034020.2.1,921
Solyc01g034080.1.1,1413
Solyc01g034150.2.1,2142
Solyc01g034160.1.1,879
Solyc01g044250.1.1,222
Solyc01g044270.2.1,2337
Solyc01g044350.2.1,894
Solyc01g044360.2.1,3336
Solyc01g044480.2.1,549
Solyc01g044490.2.1,195
Solyc01g047590.1.1,1215
Solyc01g048590.1.1,252
Solyc01g049650.2.1,1509
Solyc01g049680.2.1,540
Solyc01g049690.2.1,348
Solyc01g049700.2.1,735
Solyc01g049770.2.1,246
Solyc01g049810.2.1,1689
Solyc01g049880.2.1,192
Solyc01g049890.2.1,768
Solyc01g049900.2.1,1272
Solyc01g049960.2.1,294
Solyc01g050020.1.1,285
Solyc01g050040.2.1,879
Solyc01g050060.1.1,285
Solyc01g050070.2.1,663
Solyc01g056330.1.1,384
Solyc01g056340.2.1,1572
Solyc01g056470.1.1,552
Solyc01g056520.2.1,3159
Solyc01g056570.2.1,3219
Solyc01g056610.1.1,228
Solyc01g056620.2.1,867
Solyc01g056670.1.1,171
Solyc01g056690.2.1,1962
Solyc01g056720.2.1,651
Solyc01g056740.1.1,843
Solyc01g056760.2.1,603
Solyc01g056770.1.1,207
Solyc01g056780.2.1,471
Solyc01g056790.2.1,552
Solyc01g056810.2.1,762
Solyc01g056840.1.1,276
Solyc01g056850.2.1,1653
Solyc01g056870.1.1,294
Solyc01g056930.1.1,267
Solyc01g056940.2.1,471
Solyc01g056990.2.1,714
Solyc01g057020.2.1,528
Solyc01g057040.2.1,936
Solyc01g057090.2.1,1500
Solyc01g057100.1.1,273
Solyc01g057200.2.1,1413
Solyc01g057210.2.1,1119
Solyc01g057270.2.1,2874
Solyc01g057310.2.1,4494
Solyc01g057320.1.1,2199
Solyc01g057460.2.1,282
Solyc01g057520.2.1,3255
Solyc01g057570.2.1,786
Solyc01g057580.1.1,1053
Solyc01g057640.1.1,171
Solyc01g057760.2.1,3666
Solyc01g057770.2.1,2142
Solyc01g057780.2.1,2625
Solyc01g057830.2.1,1239
Solyc01g057840.2.1,1737
Solyc01g057850.2.1,1767
Solyc01g057900.2.1,3093
Solyc01g058010.2.1,1521
Solyc01g058020.2.1,423
Solyc01g058030.1.1,654
Solyc01g058140.2.1,1929
Solyc01g058160.2.1,1053
Solyc01g058170.2.1,693
Solyc01g058190.2.1,918
Solyc01g058220.1.1,375
Solyc01g058260.2.1,1440
Solyc01g058270.2.1,1641
Solyc01g058280.2.1,312
Solyc01g058390.2.1,1503
Solyc01g058410.1.1,645
Solyc01g058450.2.1,2232
Solyc01g058470.1.1,195
Solyc01g058490.1.1,174
Solyc01g058500.2.1,207
Solyc01g058510.1.1,264
Solyc01g058520.2.1,999
Solyc01g058550.1.1,306
Solyc01g058670.2.1,723
Solyc01g058720.2.1,432
Solyc01g058730.2.1,2427
Solyc01g059830.2.1,798
Solyc01g059860.2.1,2283
Solyc01g059870.2.1,3396
Solyc01g059880.2.1,1827
Solyc01g059920.2.1,1995
Solyc01g059930.2.1,492
Solyc01g060030.2.1,798
Solyc01g060040.2.1,3063
Solyc01g060050.1.1,1827
Solyc01g060070.2.1,522
Solyc01g060080.2.1,2103
Solyc01g060090.1.1,477
Solyc01g060130.2.1,582
Solyc01g060140.2.1,2004
Solyc01g060150.2.1,462
Solyc01g060160.1.1,1014
Solyc01g060170.2.1,480
Solyc01g060180.2.1,1704
Solyc01g060200.1.1,777
Solyc01g060280.2.1,1548
Solyc01g060390.1.1,381
Solyc01g060410.2.1,2742
Solyc01g060470.2.1,1593
Solyc01g065490.2.1,960
Solyc01g065510.2.1,525
Solyc01g065530.2.1,1947
Solyc01g065540.2.1,2034
Solyc01g065550.2.1,654
Solyc01g065560.2.1,1176
Solyc01g065580.2.1,1863
Solyc01g065600.1.1,654
Solyc01g065610.1.1,327
Solyc01g065620.1.1,366
Solyc01g065630.1.1,189
Solyc01g065640.1.1,228
Solyc01g065710.2.1,351
Solyc01g065720.2.1,3321
Solyc01g065740.2.1,1524
Solyc01g065770.1.1,381
Solyc01g065780.1.1,198
Solyc01g065810.1.1,390
Solyc01g065840.2.1,1719
Solyc01g065980.2.1,765
Solyc01g066050.2.1,1602
Solyc01g066060.2.1,780
Solyc01g066310.2.1,2487
Solyc01g066430.2.1,903
Solyc01g066440.2.1,555
Solyc01g066450.2.1,1008
Solyc01g066480.2.1,780
Solyc01g066510.1.1,3360
Solyc01g066520.2.1,1518
Solyc01g066560.2.1,1488
Solyc01g066570.2.1,408
Solyc01g066590.2.1,360
Solyc01g066600.2.1,147
Solyc01g066610.2.1,4293
Solyc01g066620.2.1,2142
Solyc01g066640.2.1,1152
Solyc01g066690.2.1,1512
Solyc01g066720.2.1,294
Solyc01g066740.2.1,3966
Solyc01g066760.2.1,204
Solyc01g066820.2.1,2358
Solyc01g066830.2.1,1548
Solyc01g066840.2.1,249
Solyc01g066870.2.1,954
Solyc01g066900.2.1,447
Solyc01g066910.2.1,306
Solyc01g066940.2.1,666
Solyc01g067000.2.1,945
Solyc01g067010.2.1,1116
Solyc01g067030.2.1,1110
Solyc01g067040.1.1,2031
Solyc01g067070.2.1,996
Solyc01g067080.2.1,345
Solyc01g067090.2.1,2259
Solyc01g067100.2.1,2229
Solyc01g067180.2.1,351
Solyc01g067190.1.1,546
Solyc01g067200.1.1,579
Solyc01g067210.2.1,1710
Solyc01g067260.2.1,630
Solyc01g067280.2.1,744
Solyc01g067290.2.1,1263
Solyc01g067360.2.1,804
Solyc01g067380.2.1,810
Solyc01g067390.2.1,3198
Solyc01g067400.2.1,1536
Solyc01g067480.2.1,1974
Solyc01g067490.2.1,1686
Solyc01g067500.2.1,1437
Solyc01g067510.2.1,1119
Solyc01g067530.2.1,2016
Solyc01g067550.2.1,1491
Solyc01g067560.2.1,3630
Solyc01g067570.2.1,666
Solyc01g067580.2.1,462
Solyc01g067590.2.1,1449
Solyc01g067600.2.1,4953
Solyc01g067610.2.1,234
Solyc01g067640.2.1,1743
Solyc01g067660.2.1,1608
Solyc01g067670.2.1,174
Solyc01g067680.2.1,750
Solyc01g067700.2.1,1104
Solyc01g067720.2.1,1245
Solyc01g067730.2.1,411
Solyc01g067740.2.1,459
Solyc01g067750.2.1,1638
Solyc01g067760.1.1,264
Solyc01g067790.2.1,3498
Solyc01g067800.2.1,1155
Solyc01g067890.2.1,2160
Solyc01g067900.2.1,408
Solyc01g067940.2.1,408
Solyc01g068000.2.1,1059
Solyc01g068020.2.1,714
Solyc01g068030.2.1,714
Solyc01g068050.2.1,1341
Solyc01g068060.2.1,360
Solyc01g068070.2.1,4149
Solyc01g068080.2.1,963
Solyc01g068100.2.1,2985
Solyc01g068130.2.1,1458
Solyc01g068140.2.1,1398
Solyc01g068150.2.1,654
Solyc01g068160.2.1,1365
Solyc01g068170.2.1,1269
Solyc01g068180.2.1,2403
Solyc01g068190.2.1,267
Solyc01g068200.2.1,1578
Solyc01g068210.2.1,1905
Solyc01g068240.2.1,1602
Solyc01g068250.2.1,1251
Solyc01g068260.2.1,2952
Solyc01g068270.2.1,2154
Solyc01g068280.2.1,3648
Solyc01g068290.2.1,2124
Solyc01g068330.2.1,2466
Solyc01g068340.2.1,1548
Solyc01g068350.2.1,645
Solyc01g068360.2.1,2355
Solyc01g068370.2.1,1026
Solyc01g068390.2.1,2640
Solyc01g068400.2.1,231
Solyc01g068450.2.1,609
Solyc01g068470.2.1,1284
Solyc01g068480.2.1,4767
Solyc01g068490.2.1,2586
Solyc01g068510.1.1,513
Solyc01g068520.1.1,201
Solyc01g068530.2.1,453
Solyc01g068540.2.1,1308
Solyc01g068550.2.1,1059
Solyc01g068580.2.1,867
Solyc01g068600.2.1,654
Solyc01g068610.2.1,3219
Solyc01g068620.2.1,873
Solyc01g068640.2.1,1815
Solyc01g073640.2.1,780
Solyc01g073650.2.1,939
Solyc01g073660.2.1,1368
Solyc01g073690.2.1,741
Solyc01g073700.2.1,1578
Solyc01g073730.2.1,1194
Solyc01g073740.2.1,1425
Solyc01g073750.2.1,5397
